,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
37,Krasnovka,RU,34.43,48.37,40.26,97,88,10.2
39,Southbridge,US,30.69,42.08,-72.03,63,1,10.29
40,Komsomolskiy,RU,21.11,67.55,63.78,90,76,13.44
42,Hithadhoo,MV,81.41,-0.6,73.08,100,56,1.59
43,Airai,TL,76.82,-8.93,125.41,84,92,1.92
44,Bubaque,GW,79.07,11.28,-15.83,97,80,16.02
45,Hasaki,JP,55.26,35.73,140.83,58,75,12.75
46,Figeac,FR,36,44.61,2.03,74,0,4.7
47,Hobart,AU,73.06,-42.88,147.33,27,0,8.05
48,Ancud,CL,50,-41.87,-73.83,87,0,4.7
49,Clyde River,CA,-9.41,70.47,-68.59,76,1,2.24
50,Batagay-Alyta,RU,15.17,67.8,130.41,79,0,3.71
51,Dikson,RU,24.08,73.51,80.55,97,80,43.2
53,Mataura,NZ,61,-46.19,168.86,69,0,1.99
54,Cerrito,CO,69.8,6.84,-72.7,100,75,2.24
55,Morgan City,US,54.14,29.7,-91.21,81,1,8.97
56,Zhigalovo,RU,25.79,54.81,105.15,63,48,3.15
57,Potsdam,DE,46.56,52.4,13.06,93,90,8.05
58,Linjiang,CN,33.8,41.81,126.91,41,0,5.17
59,Moerai,PF,76.64,-22.43,-151.33,100,100,21.27
60,Ushuaia,AR,44.6,-54.81,-68.31,85,20,21.92
61,Margate,AU,73.08,-43.03,147.26,27,0,8.05
62,Coihaique,CL,51.8,-45.58,-72.07,53,56,9.17
63,Ribeira Grande,PT,57.92,38.52,-28.7,100,44,12.88
64,Busselton,AU,69.22,-33.64,115.35,31,76,15.68
65,Banjar,ID,81.41,-7.37,108.54,82,24,3.71
66,Provideniya,RU,30.2,64.42,-173.23,100,90,13.42
67,Carnarvon,ZA,47.93,-30.97,22.13,51,32,4.38
68,Sorland,NO,42.8,67.67,12.69,81,75,16.11
70,Arraial do Cabo,BR,75.2,-22.97,-42.02,88,75,10.29
72,Mancheral,IN,84.56,18.87,79.43,48,0,5.17
73,Bundaberg,AU,77.54,-24.87,152.35,74,75,11.41
74,Torbay,CA,14.47,47.66,-52.73,66,5,4.7
75,Gurupi,BR,72.68,-11.73,-49.07,92,20,5.61
76,Vila Franca do Campo,PT,55.18,37.72,-25.43,76,20,12.75
77,Iqaluit,CA,3.2,63.75,-68.52,65,75,8.05
78,Avera,US,42.22,33.19,-82.53,49,1,4.7
79,Aksu,KZ,30.2,52.04,76.93,100,75,6.71
80,Kununurra,AU,96.8,-15.77,128.74,23,0,12.75
81,Porbandar,IN,84.2,21.64,69.61,35,0,17.22
82,Chokurdakh,RU,1.04,70.62,147.9,92,0,12.21
83,Dauphin,CA,35.6,51.15,-100.04,81,90,12.75
85,Atuona,PF,82.67,-9.8,-139.03,100,0,14
87,Nouadhibou,MR,64.4,20.93,-17.03,88,20,9.17
88,Carmen,PH,83.3,7.2,124.8,67,88,1.36
89,Whitehorse,CA,40.78,60.72,-135.06,33,20,4.7
90,Bulgan,MN,33.44,48.81,103.53,34,64,10.2
91,Hilo,US,70.25,19.71,-155.08,73,75,10.29
92,Denpasar,ID,86,-8.65,115.22,74,20,4.7
93,Homer,US,43.25,59.64,-151.54,75,90,8.05
94,Kapaa,US,73,22.08,-159.32,78,20,6.93
95,Port Hardy,CA,44.6,50.7,-127.42,81,5,3.36
97,Mahebourg,MU,81.3,-20.41,57.7,83,40,10.29
98,Saint-Pierre,FR,33.19,48.95,4.24,79,0,9.17
99,Chumikan,RU,22.37,54.72,135.31,66,76,3.6
100,Mahibadhoo,MV,83.84,3.78,72.97,100,8,9.42
101,Te Anau,NZ,62.24,-45.41,167.72,54,0,0.92
102,Cedar City,US,49.95,37.68,-113.06,25,1,14.99
103,Celestun,MX,73.94,20.87,-90.4,100,0,19.82
104,Kendari,ID,85.28,-3.99,122.52,86,32,3.94
105,Wattegama,LK,79.16,7.35,80.68,72,0,2.93
106,Cilegon,ID,86.52,-6.02,106.05,70,20,10.29
107,Novobirilyussy,RU,27.68,56.95,90.69,81,44,3.94
108,Tahe,CN,23.09,52.34,124.71,43,0,5.39
109,Bethel,US,37.4,60.79,-161.76,69,75,4.7
110,Bredasdorp,ZA,59.76,-34.53,20.04,87,64,3.36
111,Saldanha,PT,43.34,41.42,-6.55,32,0,10.2
113,Ambovombe,MG,76.1,-25.18,46.09,85,80,15.46
114,Zacualpan,MX,68.54,21.25,-105.17,88,5,1.7
115,Castro,CL,50,-42.48,-73.76,87,0,4.7
117,Ambunti,PG,81.68,-4.22,142.82,85,68,2.37
118,Lebu,ET,57.2,8.96,38.73,93,75,5.82
119,Galesong,ID,80.6,-5.32,119.37,100,75,5.82
121,East London,ZA,68,-33.02,27.91,72,0,5.82
122,Richards Bay,ZA,70.52,-28.77,32.06,87,0,13.67
123,Governador Dix-Sept Rosado,BR,74.93,-5.46,-37.52,97,68,3.27
124,Codrington,AU,76.51,-28.95,153.24,65,75,12.75
125,Santa Cruz Cabralia,BR,77,-16.28,-39.02,88,75,2.24
126,Neuquen,AR,68,-38.95,-68.06,60,0,2.24
127,Dondo,MZ,77,-19.62,34.74,88,40,6.93
128,Verkhnetulomskiy,RU,28.4,68.61,31.8,68,0,6.71
129,Ponta do Sol,BR,76.1,-20.63,-46,54,92,5.73
130,Juripiranga,BR,73.4,-7.37,-35.24,100,75,4.7
131,Nikolskoye,RU,27.57,59.7,30.79,78,75,6.71
132,Saint-Philippe,CA,31.64,45.36,-73.48,50,1,8.05
133,Cordele,US,48.47,31.96,-83.78,70,1,3.36
135,Grindavik,IS,29.7,63.84,-22.43,59,75,12.75
136,Kodiak,US,62.8,39.95,-94.76,59,90,9.17
137,Smithers,CA,44.6,54.78,-127.17,52,20,4.7
138,Souillac,FR,39.87,45.6,-0.6,80,0,4.7
139,Isangel,VU,87.8,-19.55,169.27,58,75,14.99
140,Vaitape,PF,84.92,-16.52,-151.75,99,68,0.69
142,Georgetown,GY,77,6.8,-58.16,88,20,4.7
144,Port-Gentil,GA,83.66,-0.72,8.78,94,32,9.42
145,Vostok,RU,22.01,46.45,135.83,52,64,4.94
146,Skibbereen,IE,39.2,51.55,-9.27,93,0,6.93
147,Bud,NO,46.17,62.91,6.91,61,92,27.51
148,Acajutla,SV,73,13.59,-89.83,52,0,5.01
150,Mar del Plata,AR,52.34,-46.43,-67.52,74,0,2.82
151,Vao,EE,24.89,59.1,26.19,92,0,6.73
152,Barrow,AR,57.65,-38.31,-60.23,77,0,13.67
153,Taksimo,RU,21.2,56.36,114.84,48,64,3.04
154,Sao Joao da Barra,BR,80.6,-21.64,-41.05,98,88,14.23
155,Itoman,JP,77,26.12,127.67,73,75,17.22
156,Bluff,AU,71.69,-23.58,149.07,99,100,13.89
157,Ahipara,NZ,71.33,-35.17,173.16,76,88,11.1
158,Vaini,IN,75.2,15.34,74.49,88,0,2.93
159,Villa Carlos Paz,AR,60.87,-31.42,-64.5,93,75,2.24
160,Flinders,AU,76.73,-34.58,150.85,47,75,6.93
161,Atar,MR,52.88,20.52,-13.05,48,0,2.59
162,Nakamura,JP,62.46,35.17,136.87,36,75,14.99
163,Edd,ER,65.48,13.93,41.69,92,0,2.15
164,Pozo Colorado,PY,68.18,-23.49,-58.8,69,0,8.41
166,Sao Filipe,CV,69.35,14.9,-24.5,99,0,10.76
167,Sitka,US,69.53,37.17,-99.65,55,0,16.46
168,Makakilo City,US,76.37,21.35,-158.09,61,20,14.99
170,Uruzgan,AF,39.11,32.93,66.63,99,32,1.25
171,Puerto Ayora,EC,77,-0.74,-90.35,92,0,9.53
172,Butaritari,KI,84.74,3.07,172.79,98,76,19.15
173,Logstor,DK,45.68,56.96,9.26,94,64,15.01
174,Darab,IR,36.41,28.75,54.55,69,0,2.37
177,Xuddur,SO,70.25,4.12,43.89,75,0,6.62
178,Sayyan,YE,54.95,15.17,44.32,92,88,1.59
180,Cabo San Lucas,MX,69.01,22.89,-109.91,56,40,9.42
181,Reitz,ZA,53.06,-27.8,28.43,87,44,4.16
182,Camacha,PT,60.8,33.08,-16.33,87,40,2.24
183,Faanui,PF,85.64,-16.48,-151.75,100,80,2.71
184,Katsuura,JP,59.67,33.93,134.5,62,75,12.75
185,Keti Bandar,PK,78.98,24.14,67.45,85,0,9.75
187,Necochea,AR,55.99,-38.55,-58.74,87,0,4
188,Hetauda,NP,64.4,27.43,85.03,68,20,3.36
189,Preobrazheniye,RU,33.53,42.9,133.91,35,48,6.4
190,Kichera,RU,19.76,55.93,110.1,80,36,2.15
191,Villarrobledo,ES,32.16,39.27,-2.6,49,0,3
192,Constitucion,MX,69.8,23.99,-104.67,17,40,6.93
193,Svetlogorsk,RU,23,53.14,59.15,92,90,6.71
194,Maragogi,BR,78.08,-9.01,-35.22,98,76,4.16
195,Biu,NG,74.39,10.61,12.19,21,20,9.75
196,Pingliang,CN,48.83,35.54,106.68,65,0,10.76
197,San Patricio,PY,68.54,-26.98,-56.83,70,0,5.28
198,Mount Pleasant,US,57.76,33.16,-94.97,58,1,6.96
199,Urdoma,RU,30.38,61.74,48.55,98,88,4.38
200,Ashqelon,IL,51.3,31.67,34.57,82,20,6.93
201,Berlevag,NO,32,70.86,29.09,100,90,25.28
202,Yaan,NG,71.42,7.38,8.57,76,0,3.38
203,Koran,BA,30.2,43.81,18.57,100,0,1.12
204,Husavik,CA,37,50.56,-96.99,86,76,7
205,Upata,VE,82.58,8.02,-62.41,46,44,10.65
206,Pokrovsk,UA,29.66,48.28,37.18,95,12,9.42
207,Gat,SN,66.2,14.69,-16.54,82,64,17.22
208,Pangnirtung,CA,-7.07,66.15,-65.72,73,32,2.48
209,Half Moon Bay,US,53.35,37.46,-122.43,66,75,5.82
210,Halifax,CA,26.22,44.65,-63.58,79,5,9.17
211,Karangampel,ID,83.39,-6.46,108.44,100,0,3.71
213,Cherskiy,RU,4.91,68.75,161.3,76,80,8.63
214,Touros,BR,77,-5.2,-35.46,94,75,3.36
218,Saint-Leu,RE,78.33,-21.15,55.28,69,0,5.82
220,Chuy,UY,61.16,-33.69,-53.46,89,0,10.76
221,Black Diamond,CA,31.77,50.69,-114.23,82,90,9.17
222,Faya,SA,59.94,18.39,42.45,82,40,6.93
224,Bambous Virieux,MU,81.27,-20.34,57.76,83,40,10.29
225,Ambulu,ID,82.58,-8.35,113.61,100,24,2.93
226,El Cobre,CU,78.8,20.05,-75.95,65,40,3.36
227,Port Elizabeth,US,33.49,39.31,-74.98,86,1,6.62
230,Geraldton,CA,33.8,49.72,-86.95,95,75,11.41
231,Ucluelet,CA,50.22,48.94,-125.55,77,0,1.01
232,Nishihara,JP,60.28,35.74,139.53,38,75,10.29
233,Pevek,RU,9.41,69.7,170.27,89,88,20.94
234,Gamba,CN,14.36,28.28,88.52,83,0,3.6
235,Leningradskiy,RU,20.93,69.38,178.42,87,44,17.81
236,Cidreira,BR,69.26,-30.17,-50.22,75,76,12.44
237,Laguna,MX,69.89,27.52,-110.01,42,32,2.59
238,Coachella,US,59.36,33.68,-116.18,33,1,12.75
239,Ugoofaaru,MV,83.48,5.67,73,100,0,5.73
240,Lorengau,PG,81.5,-2.02,147.27,100,36,7.18
242,Fortuna,ES,43.47,38.18,-1.13,77,0,5.82
243,Nome,US,54.73,30.04,-94.42,82,1,6.62
244,Mayo,CA,42.8,63.59,-135.9,60,75,2.24
246,Tasiilaq,GL,19.4,65.61,-37.64,62,8,11.41
247,Okha,RU,21.11,53.59,142.95,99,80,15.9
248,Jamestown,AU,70.34,-33.21,138.6,72,0,5.95
249,Marienburg,DE,44.82,52.12,9.98,100,92,5.82
250,Dingle,PH,82.04,11,122.67,84,44,10.42
251,Hambantota,LK,86,6.12,81.12,70,0,10.29
252,Irsha,UA,26.6,50.72,29.45,73,0,4.47
253,Nyurba,RU,21.2,63.29,118.35,78,44,3.6
254,Norman Wells,CA,37.4,65.28,-126.83,93,90,8.05
255,Betare Oya,CM,69.62,5.6,14.08,80,8,3.6
256,Qena,EG,45.59,26.16,32.72,50,0,2.71
257,La Reforma,GT,71.29,14.8,-91.82,74,40,4.7
258,Sumenep,ID,83.12,-7.02,113.87,100,12,2.71
259,Umm Lajj,SA,55.58,25.02,37.27,100,0,5.61
260,Esperance,TT,75.02,10.24,-61.45,88,20,5.82
261,Pueblo,US,62.08,38.25,-104.61,18,1,14.99
262,Vredendal,ZA,52.52,-31.68,18.49,89,44,2.93
263,Koslan,RU,18.41,63.46,48.9,78,56,2.37
264,Mecca,SA,47.48,21.43,39.83,69,0,3.6
265,Lwowek Slaski,PL,40.86,51.11,15.59,95,92,1.99
267,Mehamn,NO,32,71.03,27.85,87,90,25.28
268,Scarborough,GB,41.83,54.28,-0.41,87,8,6.93
269,Constantine,DZ,42.8,36.36,6.61,93,75,4.7
270,Lucapa,AO,66.74,-8.42,20.74,96,36,5.17
272,Dawei,MM,79.88,14.07,98.19,88,88,0.47
273,Zyryanka,RU,12.83,65.73,150.89,60,0,3.94
274,Zhigansk,RU,14.72,66.77,123.37,71,0,3.94
275,North Bend,US,49.93,43.41,-124.22,57,90,4.7
276,Uryupinsk,RU,31.46,50.8,42.01,85,64,7
277,Broome,GB,45.39,52.47,1.45,81,0,3.36
278,Narsaq,GL,14,60.91,-46.05,56,20,3.36
279,Yellowknife,CA,23,62.45,-114.38,85,75,5.82
281,Mariestad,SE,31.55,58.71,13.82,100,0,3.36
282,Eyl,SO,76.19,7.98,49.82,100,0,5.84
283,Pochutla,MX,82.26,15.74,-96.47,65,5,8.19
284,Zaysan,KZ,39.29,47.47,84.87,74,0,2.93
285,Nara,JP,57.9,34.68,135.8,62,75,8.05
286,Longyearbyen,NO,21.2,78.22,15.63,67,75,17.22
287,Tabuk,PH,85.28,17.41,121.44,43,0,1.92
288,Naryan-Mar,RU,22.37,67.67,53.09,82,76,13.78
289,Dalbandin,PK,63.32,28.9,64.41,58,36,1.25
290,Cantagallo,CO,78.89,7.38,-73.91,87,0,2.82
291,Phuket,TH,88.41,7.89,98.4,55,40,8.05
292,Talnakh,RU,30.74,69.49,88.39,95,88,18.48
293,College,US,37.13,64.86,-147.8,69,90,2.71
294,Port Blair,IN,85.28,11.67,92.75,97,12,6.17
295,Bintulu,MY,84.07,3.17,113.03,83,75,8.05
296,Balakovo,RU,33.08,52.02,47.82,95,92,2.26
297,Fairbanks,US,36.72,64.84,-147.72,69,90,2.71
298,Chubbuck,US,48.7,42.93,-112.47,42,90,3.94
299,Boulder,US,53.15,40.02,-105.27,37,1,3.71
300,Kitaibaraki,JP,52.07,36.84,140.74,48,75,18.34
301,Sinnamary,GF,80.69,5.38,-52.96,91,100,13.11
302,Lata,IN,54.59,30.78,78.62,66,0,2.04
303,Hamilton,BM,62.89,32.3,-64.78,72,75,17.22
304,Merauke,ID,84.83,-8.49,140.4,93,68,8.63
305,Xining,CN,42.53,36.62,101.77,23,0,9.19
306,Mamallapuram,IN,84.69,12.63,80.17,70,0,8.05
307,Ballina,IE,45.27,54.11,-9.15,83,64,4
308,Takoradi,GH,80.6,4.89,-1.75,100,12,5.39
309,Sanica,BA,35.85,44.62,16.65,53,0,2.24
310,Ibate,BR,71.06,-21.95,-48,74,12,12.21
311,Smidovich,RU,29.66,48.6,133.81,46,56,2.04
312,Flin Flon,CA,29.39,54.77,-101.88,74,88,8.86
313,Tagusao,PH,85.1,9.19,117.81,75,48,2.37
314,Cap Malheureux,MU,83.07,-19.98,57.61,74,40,10.29
315,Naro-Fominsk,RU,27.7,55.39,36.74,86,75,6.71
316,Bandarbeyla,SO,77.36,9.49,50.81,100,0,4.61
317,Yuksekova,TR,39.2,37.57,44.29,86,75,2.24
319,Portland,US,43.92,45.52,-122.67,87,40,10.29
321,Tuktoyaktuk,CA,23,69.44,-133.03,92,20,17.22
322,Rio Gallegos,AR,42.8,-51.62,-69.22,87,0,5.82
323,Junction City,US,62.98,39.03,-96.83,55,1,13.87
324,Saskylakh,RU,20.84,71.97,114.09,83,0,8.75
325,Twentynine Palms,US,60.73,34.14,-116.05,44,1,11.41
326,Florestopolis,BR,71.6,-22.86,-51.39,78,0,6.93
327,Aklavik,CA,32,68.22,-135.01,83,90,9.17
328,Hobyo,SO,79.88,5.35,48.53,89,56,9.42
329,Brookings,US,37.85,44.31,-96.8,86,1,5.82
331,Sibu,MY,78.3,2.29,111.83,94,90,1.12
332,Matara,PE,43.97,-13.74,-72.9,94,48,0.69
333,Amuntai,ID,87.62,-2.42,115.25,72,20,2.93
334,Alegrete,BR,67.73,-29.79,-55.79,65,0,16.46
335,Havre-Saint-Pierre,CA,12.2,50.23,-63.6,78,75,6.93
336,Paragominas,BR,72.95,-3,-47.35,98,92,3.15
337,Lahad Datu,MY,83.21,5.02,118.33,83,20,2.93
338,Anadyr,RU,19.2,64.73,177.51,85,75,13.42
339,Shimoda,JP,63.72,34.7,138.93,48,75,11.41
341,Romny,UA,26.87,50.74,33.49,84,0,9.75
342,Aykhal,RU,24.98,65.95,111.51,87,12,3.94
343,Samagaltay,RU,28.67,50.6,95,58,44,3.94
344,Holbeach,GB,40.57,52.8,0.02,81,75,4.7
345,Marysville,CA,36.68,42.91,-82.49,59,1,10.29
346,Kibala,TD,80.6,9.11,18.35,65,0,8.19
347,Mount Isa,AU,82.4,-20.73,139.49,61,90,6.93
348,Sabang,PH,82.67,13.72,123.58,81,64,7.96
349,Saint-Joseph,FR,41.07,43.56,6.97,75,0,4.7
350,Severo-Kurilsk,RU,30.92,50.68,156.12,95,92,29.21
351,Grand Gaube,MU,81.12,-20.01,57.66,83,40,10.29
352,The Valley,AI,77.61,18.22,-63.06,74,20,6.93
353,Okhotsk,RU,26.24,59.36,143.24,73,80,5.73
354,Moose Factory,CA,35.6,51.26,-80.61,93,90,18.34
355,Lasa,CY,52.7,34.92,32.53,93,40,6.93
357,Tabory,PL,42.71,53.89,19.53,90,92,5.61
358,Upernavik,GL,4.1,72.79,-56.15,100,64,2.71
360,Tezu,IN,62.51,27.93,96.16,55,0,0.69
361,Tuatapere,NZ,61,-46.13,167.69,69,0,1.99
362,Naze,NG,80.6,5.43,7.07,88,20,8.97
363,Papayal,EC,77,-2.43,-79.18,91,80,1.99
364,Samarai,PG,83.75,-10.62,150.67,100,8,10.09
365,Yagodnoye,RU,9.05,62.52,149.63,70,56,5.39
366,Jiamusi,CN,30.38,46.81,130.37,59,12,9.64
367,Moba,CD,65.48,-7.04,29.77,100,36,4.16
368,Lagoa,PT,53.04,37.14,-8.45,66,0,12.75
369,Chernyshevskiy,RU,26.06,63.01,112.47,85,76,3.6
370,Muros,ES,50.5,42.77,-9.06,65,0,8.05
371,San Vicente,SV,79,13.64,-88.78,28,0,5.82
372,Chhabra,IN,78.8,24.67,76.85,31,0,4.38
373,Manzhouli,CN,28.31,49.6,117.43,40,56,6.73
374,Salalah,OM,75.2,17.01,54.1,73,20,5.82
375,General Roca,AR,68,-39.03,-67.58,60,0,2.24
376,Doha,QA,68,25.29,51.53,68,0,3.36
377,Jining,CN,60.17,35.41,116.58,45,48,10.31
378,Yar-Sale,RU,17.78,66.83,70.83,87,44,6.85
379,Saint Anthony,US,44.4,43.97,-111.68,39,1,5.82
380,Oria,IT,49.84,40.5,17.64,100,75,10.29
381,Ostrovnoy,RU,26.96,68.05,39.51,85,8,16.69
383,Turaiyur,IN,86,11.17,78.62,62,0,4.7
384,Tibati,CM,68,6.47,12.63,59,56,2.59
385,Forst,DE,38.32,49.94,11.5,100,90,2.82
386,Mounana,GA,75.02,-1.38,13.16,93,8,2.37
387,Petropavlovsk-Kamchatskiy,RU,35.6,53.05,158.65,37,76,11.18
388,Smithville,US,62.64,39.39,-94.58,51,90,16.11
390,Chipinge,ZW,63.5,-20.19,32.62,93,0,1.7
391,Kahului,US,74.73,20.89,-156.47,54,40,4.7
392,Nanortalik,GL,24.35,60.14,-45.24,100,0,34.58
393,La Ronge,CA,26.6,55.1,-105.3,63,20,9.17
394,Henties Bay,NA,61,-22.12,14.28,93,24,1.01
395,Mayumba,GA,76.82,-3.44,10.65,100,92,5.61
396,Lavrentiya,RU,32.63,65.58,-170.99,95,80,24.29
397,Roald,NO,46.15,62.58,6.12,76,92,26.4
398,Sept-Iles,CA,18.75,50.2,-66.38,79,40,10.29
399,Sucua,EC,65.21,-2.46,-78.17,96,92,3.38
400,Sung Noen,TH,88.68,14.9,101.82,66,0,10.29
401,Tysmenytsya,UA,34.39,48.9,24.84,74,75,6.71
403,Paamiut,GL,25.79,61.99,-49.67,100,80,20.94
404,Akdagmadeni,TR,23.63,39.66,35.88,91,36,2.93
405,Gazanjyk,TM,38.39,39.24,55.52,89,0,1.81
406,Irbeyskoye,RU,28.76,55.64,95.45,94,0,3.94
407,Suntar,RU,23.9,62.16,117.65,66,48,3.83
408,Axim,GH,82.94,4.87,-2.24,97,12,8.08
409,Vanavara,RU,30.02,60.35,102.28,73,64,3.71
410,Aksarka,RU,19.49,66.56,67.8,85,12,8.97
411,Sorong,ID,83.12,-0.86,131.25,99,24,7.4
413,Shirokiy,RU,18.5,53.87,39.17,82,44,10.09
414,Ouadda,CF,65.84,8.07,22.4,89,0,3.94
415,Rincon,US,49.51,32.3,-81.24,61,1,6.93
416,Lourdes,SV,78.08,13.73,-89.37,38,0,13.87
417,Diego de Almagro,CL,58.28,-26.39,-70.05,81,0,1.7
418,Jutai,BR,74.48,-1.71,-47.89,99,88,2.71
419,Oistins,BB,78.8,13.07,-59.53,74,40,17.22
420,Kindu,CD,70.7,-2.95,25.92,98,44,2.37
421,Batticaloa,LK,82.31,7.71,81.69,96,0,5.39
422,Srednekolymsk,RU,8.33,67.46,153.71,58,8,4.05
423,Teguldet,RU,32,57.31,88.17,89,80,5.28
424,Sydney,AU,78.64,-33.85,151.22,44,20,16.11
425,Aswan,EG,48.2,24.09,32.9,77,0,3.94
426,Stryn,NO,43.61,61.9,6.72,65,64,4
428,Luderitz,NA,58.91,-26.65,15.16,93,0,11.88
429,Camabatela,AO,65.84,-8.19,15.37,97,80,1.7
430,Montepuez,MZ,70.88,-13.13,39,96,56,4.83
431,Dutlwe,BW,66.38,-23.98,23.93,78,0,9.98
432,Kieta,PG,84.29,-6.22,155.63,91,48,3.15
433,Kontagora,NG,72.68,10.4,5.47,57,12,3.04
434,San Cristobal,EC,52.41,-0.39,-78.55,87,20,4.7
435,Huancabamba,PE,58.73,-5.24,-79.45,85,76,0.47
437,Hibbing,US,37.74,47.43,-92.94,74,90,11.41
438,Rorvik,NO,44.01,64.86,11.24,94,92,4
439,Fuxin,CN,46.22,42.02,121.65,23,0,5.61
440,Gidam,IN,74.66,18.98,81.4,83,0,3.71
441,Vilhena,BR,73.22,-12.74,-60.15,91,80,2.71
442,Chapais,CA,35.6,49.78,-74.86,51,90,14.99
443,Meadow Lake,CA,27.86,54.13,-108.44,77,0,5.95
444,Ivankiv,UA,26.6,50.93,29.9,73,0,4.47
445,Bonnyville,CA,33.8,54.27,-110.74,69,20,3.36
446,Shchelkun,RU,32,56.3,60.95,78,0,6.71
447,Labytnangi,RU,14.9,66.66,66.39,71,32,6.4
448,Salinopolis,BR,78.98,-0.61,-47.36,100,100,7.63
449,Utrecht,NL,46.38,52.09,5.11,93,40,2.24
450,Victor Harbor,AU,79.68,-35.55,138.62,24,0,13.87
451,Fort Nelson,CA,44.6,58.81,-122.69,48,20,3.36
452,Mount Gambier,AU,75.2,-37.83,140.78,41,12,17.22
453,Dalaba,GN,69.8,10.69,-12.25,80,80,3.49
454,Maputo,MZ,73.4,-25.97,32.57,78,0,3.36
455,Balapur,IN,84.74,20.67,76.77,30,0,4.16
456,Arica,CL,67.78,-18.48,-70.32,64,0,3.36
457,Marsh Harbour,BS,69.35,26.54,-77.06,100,8,11.77
458,West Plains,US,53.4,36.73,-91.85,43,1,6.93
459,Atambua,ID,79.34,-9.11,124.89,100,92,6.4
460,Topeka,US,61.86,39.05,-95.68,51,1,12.75
461,Nivala,FI,26.55,63.93,24.96,84,56,1.01
462,Sandwick,GB,44.65,54.57,-2.89,93,68,10.29
463,Taoudenni,ML,60.98,22.68,-3.98,69,0,2.71
465,Ust-Kuyga,RU,8.24,70,135.55,79,12,4.94
466,Dauriya,RU,26.69,49.93,116.85,45,56,5.61
467,Timbuktu,ML,73.49,16.77,-3.01,70,20,4.94
468,Dingzhou,CN,48.2,38.51,115,34,0,6.71
469,Sovetskaya,RU,32,44.78,41.17,9,92,11.01
470,Chornyanka,UA,30.2,46.65,33.36,92,0,8.95
471,Terrasini,IT,49.35,38.15,13.08,87,75,12.75
472,Klaksvik,FO,46.4,62.23,-6.59,93,88,10.29
474,Wuan,CN,73.49,31.68,112,64,12,5.95
475,Pleshanovo,RU,23,57.46,28.17,85,8,2.24
476,Belmonte,PT,48,40.36,-7.35,44,0,5.99
477,Suzhou,CN,57.11,33.65,116.96,59,92,13.78
478,Timizart,DZ,50,36.8,4.25,67,0,3
479,Turukhansk,RU,29.39,65.8,87.96,93,92,12.55
480,Lima,PE,71.22,-12.06,-77.04,83,0,8.05
481,Meulaboh,ID,80.51,4.14,96.13,100,56,6.29
483,Mafeteng,LS,49.64,-29.82,27.24,69,0,2.93
484,Kourou,GF,78.8,5.16,-52.64,83,90,4.7
485,Port Arthur,US,54.99,29.9,-93.93,81,1,6.62
486,Quang Ngai,VN,84.02,15.12,108.8,59,0,3.15
487,Chesma,RU,21.65,53.81,60.65,63,48,7.96
488,Marawi,PH,82.99,8,124.29,81,88,8.01
489,Irbit,RU,32.99,57.67,63.06,94,32,7.18
490,Shieli,KZ,50.45,44.18,66.74,95,80,14.79
